1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
42.7551166528639,0.0,3.0,0,6.928203230275509,0,42.118879377305376,774,0,2007.0,7.510977752014095,0,9.366831168735615,9.486832980505138,21.2602916254693,10.392304845413264,5,9,1822,2007,2007,314813
29.899832775452104,0.0,2.0,1,0.0,0,29.899832775452104,308,0,1962.0,6.795705775173514,1,8.794824928014517,7.745966692414834,0.0,0.0,5,5,894,1962,1962,109500
31.04834939252005,0.0,2.0,1,26.702059845637375,1,12.767145334803704,432,0,1921.0,6.871091294610546,1,9.500020447090636,8.94427190999916,0.0,0.0,7,5,876,1921,2006,163500
41.09744517606903,0.0,3.0,1,34.899856733230294,2,18.708286933869704,857,1,2002.0,7.4318919168078,0,9.49288426657184,8.306623862918075,12.165525060596439,7.681145747868609,5,8,1568,2002,2002,271000
39.25557285278104,0.0,3.0,1,0.0,0,39.25557285278104,843,1,2001.0,7.340186835320115,0,9.525443040003955,10.60153600466672,12.24744871391589,9.0,5,7,1541,2001,2002,205000
34.942810419312295,0.0,2.0,1,20.248456731316587,2,28.478061731796284,400,1,2004.0,7.107425474110705,0,8.922658299524402,7.874007874011811,0.0,10.63014581273465,5,7,1221,2004,2005,185000
36.38681079732051,0.0,3.0,1,25.357444666211933,3,21.095023109728984,440,0,1965.0,7.188412736496954,1,9.066239028001926,9.16515138991168,10.04987562112089,11.747340124470732,5,6,1088,1965,1965,160000
26.38181191654584,26.832815729997478,3.0,1,24.576411454889016,1,9.591663046625438,484,0,1999.0,7.255591274253665,0,8.297967982877239,6.032625105063702,0.0,6.6332495807108,5,7,696,1999,1999,155000
22.934689882359432,21.494185260204677,2.0,2,21.494185260204677,2,0.0,297,0,1973.0,6.895682697747867,1,8.297967982877239,6.032625105063702,0.0,10.04987562112089,5,4,462,1973,1973,91000
29.47880594596735,18.681541692269406,3.0,1,19.364916731037084,1,18.973665961010273,440,0,2003.0,7.1049654482698426,1,8.699514748210191,7.745966692414834,0.0,0.0,6,6,735,1941,1950,131000
27.568097504180443,29.93325909419153,3.0,1,0.0,0,27.313000567495326,397,2,2003.0,7.412160334945205,0,8.843759381917984,7.745966692414834,9.591663046625438,11.313708498984761,5,7,746,2003,2004,165400
36.90528417449187,0.0,2.0,0,4.47213595499958,1,36.6333181680284,460,0,2005.0,7.216709486709457,0,8.932872621931374,7.810249675906654,16.0,5.291502622129181,5,6,1362,2005,2006,194700
32.41913015489465,28.071337695236398,4.0,1,0.0,0,27.495454169735037,442,0,1966.0,7.516977224604321,1,8.948975607841774,8.366600265340756,18.734993995195193,11.135528725660043,5,6,756,1966,1966,155000
37.080992435478315,0.0,2.0,1,0.0,0,36.972963094672295,451,0,1954.0,7.226209010100671,1,9.333442569110165,8.660254037844387,0.0,5.477225575051661,5,6,1367,1954,1954,140000
33.49626844888845,0.0,2.0,1,12.0,2,13.114877048604,528,0,1948.0,7.022868086082641,0,9.392661928770137,10.0,0.0,6.0,7,5,924,1948,2005,147000
37.841775856849,0.0,2.0,2,26.076809620810593,1,17.0,588,0,1978.0,7.266827347520591,0,9.69010867127683,8.306623862918075,0.0,13.416407864998737,7,5,1360,1978,1978,194000
